accuracy,auc,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,test_participants,train_participants
0.781969904,0.878371047,0.541281483,0.832469638,0.822536673,0.740579948,0.442363152,0.952613581,"9, 11, 17, 18","5, 7, 12"
0.807317123,0.884008895,0.582547976,0.84691403,0.820331581,0.773892557,0.507913416,0.937358192,"9, 11, 12, 18","5, 7, 17"
0.798839647,0.891915415,0.693275111,0.830960115,0.88000752,0.748136948,0.594067124,0.941269055,"9, 11, 12, 17","5, 7, 18"
0.799212816,0.900188827,0.641258837,0.846658655,0.845381231,0.773469916,0.553070974,0.94455155,"7, 12, 17, 18","5, 9, 11"
0.794700239,0.868959113,0.581427895,0.851839873,0.765107594,0.790276346,0.498861802,0.928564106,"7, 11, 17, 18","5, 9, 12"
0.810185092,0.877525248,0.571090894,0.862899019,0.779321452,0.815313356,0.515588828,0.92336006,"7, 11, 12, 18","5, 9, 17"
0.820009194,0.894009477,0.721094805,0.855632863,0.84853297,0.800522993,0.643487687,0.921871838,"7, 11, 12, 17","5, 9, 18"
0.810301118,0.901083895,0.695480325,0.836839146,0.816324464,0.783361741,0.633256076,0.903076851,"7, 9, 17, 18","5, 11, 12"
0.839528371,0.908822147,0.740083721,0.856845903,0.820680204,0.825180287,0.703876354,0.894998668,"7, 9, 12, 18","5, 11, 17"
0.831161332,0.928038678,0.814195931,0.839350985,0.892567377,0.780522324,0.751698888,0.911326654,"7, 9, 12, 17","5, 11, 18"
0.828838435,0.885293162,0.664420901,0.863186829,0.80423694,0.81805845,0.598813525,0.917648987,"7, 9, 11, 18","5, 12, 17"
0.810813384,0.891125189,0.709416411,0.839447655,0.890051777,0.762419102,0.611873641,0.937681723,"7, 9, 11, 17","5, 12, 18"
0.8411737,0.905868947,0.756833539,0.859074498,0.869269647,0.805040602,0.689123504,0.92204832,"7, 9, 11, 12","5, 17, 18"
0.776139392,0.877165897,0.502063309,0.841580006,0.824260557,0.747054191,0.388976979,0.967299684,"5, 12, 17, 18","7, 9, 11"
0.778404705,0.856206147,0.442453096,0.851150084,0.78957043,0.766391434,0.331580413,0.957827537,"5, 11, 17, 18","7, 9, 12"
0.801612506,0.862166843,0.501574375,0.865563933,0.752554988,0.804055741,0.420336687,0.940084776,"5, 11, 12, 18","7, 9, 17"
0.798396722,0.864626827,0.614645787,0.848618352,0.788918734,0.787175132,0.521177165,0.923083174,"5, 11, 12, 17","7, 9, 18"
0.794385362,0.891453558,0.542708661,0.840690933,0.816843114,0.755762525,0.451859942,0.947807946,"5, 9, 17, 18","7, 11, 12"
0.83205742,0.899339459,0.601755865,0.868946012,0.822005407,0.809093973,0.538255232,0.941380198,"5, 9, 12, 18","7, 11, 17"
0.825394217,0.905237968,0.723317195,0.848553786,0.854046221,0.78595341,0.645870974,0.92413856,"5, 9, 12, 17","7, 11, 18"
0.816094865,0.875829246,0.51740738,0.86978175,0.798222336,0.799169675,0.428219096,0.955849624,"5, 9, 11, 18","7, 12, 17"
